Date,EWU
2005-03-4,1221.236
2005-03-7,1211.595
2005-03-8,1218.115
2005-03-9,1208.017
2005-03-10,1200.987
2005-03-11,1207.769
2005-03-14,1196.842
2005-03-15,1205.528
2005-03-16,1198.662
2005-03-17,1192.470
2005-03-18,1188.233
2005-03-21,1178.669
2005-03-22,1181.442
2005-03-23,1158.834
2005-03-24,1159.795
2005-03-25,1159.795
2005-03-28,1157.159
2005-03-29,1161.286
2005-03-30,1162.166
2005-03-31,1164.341
2005-04-1,1168.510
2005-04-4,1154.250
2005-04-5,1166.734
2005-04-6,1168.361
2005-04-7,1174.851
2005-04-8,1175.161
2005-04-11,1181.946
2005-04-12,1173.140
2005-04-13,1180.403
2005-04-14,1169.311
2005-04-15,1164.006
2005-04-18,1154.821
2005-04-19,1169.422
2005-04-20,1161.773
2005-04-21,1158.404
2005-04-22,1167.267
2005-04-25,1168.358
2005-04-26,1158.385
2005-04-27,1146.518
2005-04-28,1147.095
2005-04-29,1149.961
2005-05-2,1139.816
2005-05-3,1152.221
2005-05-4,1163.097
2005-05-5,1169.723
2005-05-6,1165.974
2005-05-9,1158.096
2005-05-10,1154.093
2005-05-11,1144.430
2005-05-12,1142.728
2005-05-13,1136.419
2005-05-16,1123.181
2005-05-17,1129.520
2005-05-18,1137.853
2005-05-19,1142.665
2005-05-20,1137.719
2005-05-23,1144.816
2005-05-24,1142.998
2005-05-25,1142.173
2005-05-26,1141.929
2005-05-27,1140.819
2005-05-30,1141.100
2005-05-31,1135.402
2005-06-1,1141.736
2005-06-2,1141.903
2005-06-3,1140.648
2005-06-6,1138.048
2005-06-7,1154.765
2005-06-8,1155.401
2005-06-9,1143.802
2005-06-10,1145.482
2005-06-13,1142.640
2005-06-14,1145.318
2005-06-15,1146.797
2005-06-16,1152.972
2005-06-17,1163.015
2005-06-20,1161.721
2005-06-21,1164.949
2005-06-22,1167.154
2005-06-23,1168.341
2005-06-24,1161.354
2005-06-27,1156.360
2005-06-28,1160.909
2005-06-29,1156.831
2005-06-30,1149.945
2005-07-1,1147.447
